,episode,frame,AGENT-2_pos_x,AGENT-2_pos_y,AGENT-2_heading,AGENT-2_score,AGENT-2_speed,AGENT-3_pos_x,AGENT-3_pos_y,AGENT-3_heading,AGENT-3_score,AGENT-3_speed,AGENT-0_pos_x,AGENT-0_pos_y,AGENT-0_heading,AGENT-0_score,AGENT-0_speed,AGENT-1_pos_x,AGENT-1_pos_y,AGENT-1_heading,AGENT-1_score,AGENT-1_speed
0,1.0,0.0,26.533037353281546,26.2277565255744,-2.1908439967854196,6.39716671259187,12.098152991511967,26.327721074986446,13.720298864184599,-1.0667848090185839,6.528122660505407,13.254642480945344,13.970855778917857,35.06004313934163,-2.1106154499685994,6.042482678856315,10.78848775420896,12.515511500028174,6.39410511018553,-1.0951270588799051,5.89332823978663,9.850192949706182
1,1.0,1.0,27.499429656282867,25.482361016033853,-2.2112917127762213,7.61550758030006,12.308950487988913,27.509485799217604,14.333424992233653,-1.0866801262698331,7.859453240958661,13.346028988935899,14.854510324754585,34.5037803292215,-2.1200994080208613,7.085960186290397,10.11674761163961,13.389957402815595,6.823661880489652,-1.1018850836958496,6.867220767735297,9.703688994184267
2,1.0,2.0,28.483410163502715,24.791447096999082,-2.1909322267600704,8.81770997345375,11.729441797770308,28.739992588293195,14.932655329115935,-1.1038467409924264,9.227464018288114,13.937123306191097,15.68798930572072,33.99835243971856,-2.1226296257260584,8.05934938321227,9.38795921134979,14.22457793530415,7.252080843988775,-1.1014332739437727,7.805331464078106,9.059375618739642
3,1.0,3.0,29.469551296008348,24.21921244963834,-2.134105684400531,9.954879373578525,11.131381363348883,29.944972448894607,15.608996751432569,-1.0720537423675474,10.608755401498692,13.706034180788594,16.447887911518407,33.51081302567253,-2.1292847396075096,8.961856957473502,8.673500841278225,15.010143789913304,7.626045385975565,-1.1085017574030909,8.674684869610019,8.354724701242656
4,1.0,4.0,30.420183970030298,23.698888498205616,-2.1053433000382196,11.033476327787213,10.49739488934586,31.119314374885118,16.27221752557523,-1.0664802902889354,11.956822356065663,13.242654605517336,17.18732093083662,33.05900306337728,-2.1278102976831335,9.82733452154945,8.650544228837964,15.725626815325494,7.985439627052705,-1.108683866560746,9.47522371451342,7.67459580981959
5,1.0,5.0,31.29759502036414,23.18680149148474,-2.100198173083376,12.046922138120333,9.842171819377347,32.28931885992708,16.826183337622734,-1.1079958851150238,13.250218337902142,12.687168152711035,17.888618686990466,32.60533622373844,-2.133000144140082,10.662340872249825,8.044278706813836,16.38661015294609,8.292668052926837,-1.1140324154600219,10.203250265644632,6.9207619113474115
6,1.0,6.0,32.127752860869776,22.7243936731986,-2.0942162010675567,12.993345500159121,9.16686451908469,33.44601978433689,17.255908402706176,-1.173539936594528,14.516615724695402,11.989872346942596,18.54694376512158,32.20278288928346,-2.131375478706225,11.433054848728014,7.3921857364246035,16.974916940346503,8.58310013129165,-1.1142089421064494,10.85913067418872,6.222916439544694
7,1.0,7.0,35.321570865715444,21.213092236886116,-1.9704139609888056,16.73339156924613,8.675841282120892,37.98601927904728,17.83317334009461,-1.509281183653929,19.144788412277304,11.529154375529384,20.72612994523605,30.319659973279755,-2.2524868003237337,14.29426388221877,6.564358865900937,18.68035901396628,9.366633116990142,-1.1266865321244453,12.733290733017885,3.227652095772973
8,1.0,8.0,36.15079242953773,20.990304670278533,-1.9116283765152362,17.568140995217814,8.418948652506595,39.15334242785839,17.87884083700033,-1.5190361168435258,20.312069347184753,11.834876822755458,21.256335322373964,29.913787701909254,-2.24184474849811,14.960962688909323,6.791225526213114,18.937642985154817,9.487128341567386,-1.1231463692677721,12.733290733017885,2.4857771682750194
9,1.0,9.0,42.365565810838255,20.440272964635625,-1.5063635021178508,26.333615671666482,10.821083013122388,51.591487068856075,17.499150254581227,-1.6155039208217667,32.74911157808272,15.24461539068751,26.594246223993512,26.376393699155305,-2.1523017052408253,21.364066949679863,6.409898561520641,27.01829569444268,14.651272876938172,-1.0526253019166987,22.57254435155066,6.1313309323416565
