,episode,frame,AGENT-1_pos_x,AGENT-1_pos_y,AGENT-1_heading,AGENT-1_score,AGENT-1_speed,AGENT-1_id,AGENT-3_pos_x,AGENT-3_pos_y,AGENT-3_heading,AGENT-3_score,AGENT-3_speed,AGENT-3_id,AGENT-0_pos_x,AGENT-0_pos_y,AGENT-0_heading,AGENT-0_score,AGENT-0_speed,AGENT-0_id,AGENT-2_pos_x,AGENT-2_pos_y,AGENT-2_heading,AGENT-2_score,AGENT-2_speed,AGENT-2_id
0,1.0,0.0,8.419584977175555,4.403094940321055,-1.0792534821569513,1.3413823249202166,12.983956962316899,-e62d3f4c,21.69722189260735,11.381944767376655,-1.0792557800598193,1.3413818904740669,12.983955639612226,-45869e99,9.975965489202196,37.549637804369794,-2.1718730478583748,1.3392405533361829,12.976748214154837,-27749d9f,22.37264141375655,29.10437957765048,-2.171856528011796,1.339239236464982,12.976751795776842,-dafccd9f
1,1.0,1.0,9.543520605359522,4.976105438433299,-1.0903209942074765,2.6028599257708507,12.28023705427011,-e62d3f4c,22.832333473968184,11.926142750207818,-1.10738905662161,2.5993469680134513,12.223385249238452,-45869e99,11.04683889965429,36.81343025176562,-2.1730259552331157,2.638756243602898,13.01520948281375,-27749d9f,23.417055289645344,28.397109609807753,-2.169008017970256,2.600595199484472,12.279529868023781,-dafccd9f
2,1.0,2.0,10.619803380528058,5.557648442207837,-1.0775367205804613,3.826126170749282,12.15925403800878,-e62d3f4c,23.915566980362126,12.394112400795354,-1.134283664934551,3.775925099446334,11.408693659952819,-45869e99,12.148088359071476,36.10805637448722,-2.1484851563483485,3.9460161148429522,13.144976955409295,-27749d9f,24.380281952613096,27.698963618534265,-2.190948862613544,3.7897174876734585,11.544109213692073,-dafccd9f
3,1.0,3.0,11.669823930423343,6.17885298225268,-1.0560473554260508,5.044598510773014,12.222062079714467,-e62d3f4c,24.91854912740922,12.919401298028577,-1.1046190966560072,4.908134806727194,11.296917151304902,-45869e99,13.242977363441682,35.43022802248655,-2.1387032232611904,5.2325107832256705,12.565580691213576,-27749d9f,25.29213626394748,26.98696680412832,-2.2137931884285944,4.944181660329073,11.591634662385559,-dafccd9f
4,1.0,4.0,12.762491398154726,6.724960338812123,-1.089623657134294,6.265881428469093,12.205251534157922,-e62d3f4c,25.901770369906682,13.494117925810563,-1.0706733721420818,6.045849206498394,11.477704539035548,-45869e99,14.260028832674902,34.68979728362191,-2.180251144805114,6.489923370695456,12.639349008339131,-27749d9f,26.237841946215248,26.318463685117894,-2.1939408942435374,6.1021343479602965,11.55533023135867,-dafccd9f
5,1.0,5.0,13.883730639695841,7.166240449484996,-1.153974946330429,7.463683842071612,11.884155603640586,-e62d3f4c,26.91967348605477,14.031960363234903,-1.082005247757702,7.197107212034373,11.512848988457174,-45869e99,15.270251723897502,33.91022495322587,-2.2058025865280406,7.76372996043201,12.821619055685556,-27749d9f,27.189586141539703,25.70311031689782,-2.169944854633827,7.2351532353967585,11.071101294846043,-dafccd9f
6,1.0,6.0,15.009926515660085,7.595359601329105,-1.1817776235303228,8.660215784847104,12.202335754826553,-e62d3f4c,27.976010161123376,14.547798324468696,-1.0989993828391666,8.372147955105408,11.900665443966036,-45869e99,16.318267112475123,33.21033175739438,-2.173396007924322,9.023909113622237,12.392953011599113,-27749d9f,28.054708853203422,25.061266956981523,-2.193440410275354,8.311498650248803,10.524275633414652,-dafccd9f
7,1.0,7.0,16.15284278120366,8.076243915262753,-1.1743677975474256,9.895632289075202,12.5825343580154,-e62d3f4c,29.020145432667444,15.15463312820667,-1.0635873279683246,9.578725176011126,12.254425576602177,-45869e99,17.343922774726455,32.558828812943545,-2.1562265916866714,10.238364590771708,11.872868039520409,-27749d9f,28.887637435244027,24.475510477707445,-2.185087857126902,9.329659457890347,9.835203702343343,-dafccd9f
8,1.0,8.0,17.28306331833924,8.595049853088499,-1.1533132185975177,11.13745411955649,12.295587376779967,-e62d3f4c,30.05433884517609,15.779868058950582,-1.0462757911941498,10.785062880005983,11.872114586341995,-45869e99,18.30511759182854,31.91235692999912,-2.157279354623121,11.396714190929975,11.30433206864317,-27749d9f,29.72170655273043,23.947761713725427,-2.161930658998614,10.316103435758905,9.936522633052753,-dafccd9f
9,1.0,9.0,18.39745634524312,9.155584921671261,-1.1230245095295661,12.3846805654419,12.650285866109762,-e62d3f4c,31.08779507320343,16.30253882025915,-1.0816960534535358,11.943029406031286,11.327955453067132,-45869e99,19.23004691834726,31.316537252892918,-2.153635912447198,12.496574253574995,10.69305323352209,-27749d9f,30.540255694298132,23.436590461404005,-2.142537827594918,11.28038757216316,9.351754761751222,-dafccd9f
