,episode,frame,AGENT-1_pos_x,AGENT-1_pos_y,AGENT-1_heading,AGENT-1_score,AGENT-1_speed,AGENT-1_id,AGENT-0_pos_x,AGENT-0_pos_y,AGENT-0_heading,AGENT-0_score,AGENT-0_speed,AGENT-0_id
0,1.0,0.0,8.419584977175555,4.403094940321055,-1.0792534821569513,1.3413823249202166,12.983956962316899,-5f53f26c,9.975959412429892,37.5496025898675,-2.1718850017816997,1.3392553576399484,12.97732944577554,-8c072307
1,1.0,1.0,9.582881845733414,4.962511946240876,-1.1084025943627047,2.631377089054077,12.8150685815213,-5f53f26c,11.013900916372833,36.83283663366883,-2.175434318998893,2.6006086833824593,12.280066421980361,-8c072307
2,1.0,2.0,10.734478850407324,5.462318654235014,-1.135357485826523,3.883281340352263,12.24451277484154,-5f53f26c,12.030600139126978,36.14136675770458,-2.169388439289591,3.8301642855712137,12.314324672892262,-8c072307
3,1.0,3.0,11.812879231039899,6.024267554385276,-1.1051881073215188,5.099305755909855,12.089710067698297,-5f53f26c,13.007870063410568,35.45154435530381,-2.1829739336147105,5.026206211813963,11.600968158170117,-8c072307
4,1.0,4.0,12.804470373063843,6.6565255150827545,-1.0426582634766746,6.271200464891844,11.477424126047273,-5f53f26c,13.931736408781797,34.74700030397724,-2.2026493296054266,6.186401617437741,11.633412883665047,-8c072307
5,1.0,5.0,13.731966872780148,7.281710085079403,-1.0096763291939892,7.383069197945227,10.888047877559092,-5f53f26c,14.910618649495142,34.11132408697435,-2.166338208348968,7.353290727493999,11.72687881104202,-8c072307
6,1.0,6.0,14.64227960184068,7.799788616437388,-1.035750275098657,8.429895496739515,10.122956044093728,-5f53f26c,15.930317009138175,33.50137659618742,-2.1355785708334576,8.539426335483922,12.019216832208878,-8c072307
7,1.0,7.0,15.565194526656667,8.213962501450576,-1.0961393254978091,9.439534650519455,10.18253227318757,-5f53f26c,16.942629791995756,32.83232092699289,-2.150906051814186,9.75273717574352,12.21200960120213,-8c072307
8,1.0,8.0,16.471753478234344,8.616354611280157,-1.1201360506409381,10.429214343542725,9.599569808070887,-5f53f26c,17.92055846165524,32.13063107577757,-2.17253003407896,10.956005111947778,11.839188215515728,-8c072307
9,1.0,9.0,17.311037189249607,9.085366240473734,-1.0873992437262148,11.390338772326313,9.671696143410436,-5f53f26c,18.87530510331424,31.47025683808032,-2.178079194053602,12.116852937834068,11.379116396863523,-8c072307
10,1.0,10.0,18.146067313576445,9.60675375419012,-1.051176148354135,12.372066245907243,10.003259120320456,-5f53f26c,19.77723545067162,30.75706318557186,-2.2139368261222536,13.263789349356138,11.638637526528308,-8c072307
11,1.0,11.0,19.02896920942996,10.0985993755086,-1.0606520884580632,13.382424104350441,10.174627934847077,-5f53f26c,20.690307292381053,30.07541549283329,-2.208980202072283,14.402172625059839,11.121372069219653,-8c072307
12,1.0,12.0,19.959036301509855,10.576078641027356,-1.0773023786949194,14.427847420281234,10.640262047654298,-5f53f26c,21.64016686558936,29.487150488907755,-2.158309087067723,15.518382726224875,11.280670176940573,-8c072307
13,1.0,13.0,20.891926022996948,11.136450013056836,-1.0502910999233377,15.514335345959815,11.123267944783622,-5f53f26c,22.6481726986801,28.933084237629984,-2.1116613957315558,16.663392939160293,11.700163211536424,-8c072307
14,1.0,14.0,21.87124356548382,11.721838469854056,-1.0426297514918623,16.65355942153764,11.671116085636513,-5f53f26c,23.6650929471688,28.320705636155314,-2.115902896702864,17.848601353477434,11.991914486210169,-8c072307
15,1.0,15.0,22.919302546491807,12.273454570953978,-1.0720855744769073,17.837918958836692,11.970732949500567,-5f53f26c,24.623114096576607,27.63111966131651,-2.1651485803898556,19.028602126917434,11.63554009412763,-8c072307
16,1.0,16.0,24.02158359197382,12.73211481675594,-1.1359358263546913,19.027026253124795,11.884769474016013,-5f53f26c,25.559081067461708,26.914643198178286,-2.195744559767874,20.205516194153933,11.894024565903338,-8c072307
17,1.0,17.0,25.145037008495507,13.179845573465393,-1.1653690297332373,20.229789805740516,12.244509434925916,-5f53f26c,26.52911889391968,26.271919754674087,-2.1690439441606753,21.369063607851267,11.377456974134764,-8c072307
18,1.0,18.0,26.231691395497094,13.701606197549902,-1.137771067036108,21.43442261504187,11.874827724989405,-5f53f26c,27.488080672965346,25.702187567553192,-2.137116597133378,22.48236185554968,10.956654770583441,-8c072307
19,1.0,19.0,27.26646508092574,14.317168131794048,-1.07433475714675,22.63677353878181,12.232746217185909,-5f53f26c,28.36551320603257,25.092136283070786,-2.1634758241351264,23.55098112410064,10.461012024166834,-8c072307
20,1.0,20.0,28.29174150520715,14.953913892287968,-1.0437682064978846,23.840573626956296,11.862241186996648,-5f53f26c,29.18782907812101,24.485480815611904,-2.1843537928716588,24.572137636076977,9.993576797173764,-8c072307
21,1.0,21.0,29.333889653574897,15.50440117993808,-1.0708526558527751,25.01917584968223,11.739164088012988,-5f53f26c,29.994500535545264,23.955453220782054,-2.165282488412042,25.537221998771923,9.327965491235577,-8c072307
22,1.0,22.0,30.39747618085068,16.004321963015123,-1.1037123296312306,26.193228417918327,11.659171389513267,-5f53f26c,30.796584766051776,23.471445553685975,-2.1431706417319507,26.472605201870753,9.405660521725986,-8c072307
23,1.0,23.0,31.436478163545708,16.476595916803795,-1.1295611214847776,27.332656473468717,11.176360535289534,-5f53f26c,31.571089579864967,22.985634184620487,-2.134625862175703,27.386211071705535,8.864386918807707,-8c072307
24,1.0,24.0,32.44598049113176,16.8911735425644,-1.1540616398999424,28.419128556034515,10.652816023202668,-5f53f26c,32.309241962312406,22.550070518064086,-2.12449410647522,28.24148329518652,8.272204762999559,-8c072307
25,1.0,25.0,33.428527313572275,17.316817587646895,-1.1607121558099722,29.517567689795502,10.742843869750518,-5f53f26c,33.014144807861186,22.108932542050564,-2.124325345489728,29.072415068944284,8.345209243656434,-8c072307
26,1.0,26.0,34.44741976248551,17.65505627058852,-1.2110021675364733,30.59927099069957,10.746130105759226,-5f53f26c,33.73980238433223,21.75996865269651,-2.0761132458887097,29.921973054527403,7.787812495661964,-8c072307
27,1.0,27.0,35.50436618206121,17.88819857408621,-1.290068724641924,31.65722238501305,10.921450602460597,-5f53f26c,34.434004686302366,21.484074475240316,-2.0277247685907582,30.777792180376558,7.195033996731134,-8c072307
28,1.0,28.0,36.60047407126519,18.006012506060102,-1.386755331066352,32.75242056947473,11.125203871212523,-5f53f26c,35.06762233675867,21.218239931897056,-2.0044369433679847,31.483958087077617,6.586634367962177,-8c072307
29,1.0,29.0,37.72429918577375,18.00422779314237,-1.492809976124935,33.87819699906936,11.355222658961448,-5f53f26c,35.70184261219735,21.049033777124905,-1.939500359433394,32.122375242274416,6.5692474685033755,-8c072307
30,1.0,30.0,38.877723973966816,17.91006070143067,-1.5800029438988057,35.03170734675142,11.743191009200215,-5f53f26c,36.3621917400156,20.98347751170495,-1.8398238664297164,32.78420937307989,6.7059654946388445,-8c072307
31,2.0,0.0,8.419584977175555,4.403094940321055,-1.0792534821569513,1.3413823249202166,12.983956962316899,-c2bf468a,9.9759594129306,37.549602590559005,-2.171885002468632,1.3392553576644222,12.977329436629203,-9ce82c70
